Customer ID,Customer Name,Unnamed: 2,Unnamed: 3,Unnamed: 4,Recency,Frequency,CLV,Profit_nbr,Profit_pct,IPO,AOV,CLV2,Profit_nbr2,Profit_pct2,IPO2,AOV2,CLV3,Profit_nbr3,Profit_pct3,IPO3,AOV3,Clusters
MH-17440,Mark Haberlin,Binders,12/19/23,1/7/25,-385,9,400.02,61.43,15.4,2.78,44.45,466.99,128.4,27.5,2.78,51.89,575.06,83.19,0.14,3.67,63.9,1
DB-13270,Deborah Brumfield,Binders,11/7/24,1/7/25,-61,13,4655.9,841.83,18.1,4.0,358.15,4846.91,1032.84,21.31,4.0,372.84,5265.68,808.45,0.15,4.85,405.05,1
ND-18460,Neil Ducich,Labels,6/30/24,1/7/25,-191,8,2893.46,443.34,15.3,4.5,361.68,2913.47,463.35,15.9,4.5,364.18,2980.45,403.92,0.14,4.88,372.56,1
CK-12760,Cyma Kinney,Accessories,10/9/24,1/7/25,-90,14,1582.11,-338.43,-21.4,4.57,113.01,1792.95,-127.59,-7.12,4.57,128.07,2233.77,-643.09,-0.29,5.43,159.55,2
NM-18445,Nathan Mautz,Furnishings,7/23/24,1/7/25,-168,14,6459.34,"2,751.68",42.6,3.14,461.38,7333.21,3625.55,49.44,3.14,523.8,8764.07,3809.3,0.43,3.57,626.0,0
GA-14725,Guy Armstrong,Chairs,12/25/24,1/7/25,-13,22,1398.38,136.71,9.8,3.59,63.56,1513.15,251.48,16.62,3.59,68.78,1745.63,122.69,0.07,4.64,79.35,1
NF-18385,Natalie Fritzler,Tables,10/12/24,1/7/25,-87,14,8322.83,"-1,695.97",-20.4,3.71,594.49,9443.91,-574.89,-6.09,3.71,674.56,11403.77,-2970.24,-0.26,4.71,814.55,0
SC-20095,Sanjit Chand,Chairs,1/15/24,1/7/25,-358,22,14142.33,"5,757.41",40.7,3.95,642.83,16707.27,8322.34,49.81,3.95,759.42,21569.22,8965.96,0.42,4.77,980.42,0
ML-17395,Marina Lichtenstein,Appliances,10/22/24,1/7/25,-77,20,2722.84,684.92,25.2,3.6,136.14,2836.37,798.45,28.15,3.6,141.82,3017.38,716.32,0.24,3.95,150.87,1
ST-20530,Shui Tom,Paper,8/27/24,1/7/25,-133,12,433.34,84.44,19.5,2.75,36.11,472.97,124.07,26.23,2.75,39.41,555.66,129.32,0.23,3.08,46.31,1
BF-11020,Barry Französisch,Binders,10/17/24,1/7/25,-82,21,2888.51,302.02,10.5,3.71,137.55,3275.29,688.81,21.03,3.71,155.97,3918.39,368.31,0.09,4.52,186.59,1
MN-17935,Michael Nguyen,Appliances,11/26/24,1/7/25,-42,10,2477.95,290.82,11.7,3.6,247.79,2478.16,291.04,11.74,3.6,247.82,2478.67,289.67,0.12,3.8,247.87,1
TB-21595,Troy Blackwell,Furnishings,3/20/24,1/7/25,-293,7,1387.56,-136.41,-9.8,4.14,198.22,1598.44,74.48,4.66,4.14,228.35,2020.21,-200.99,-0.1,5.0,288.6,2
AB-10015,Aaron Bergman,Storage,11/10/23,1/7/25,-424,6,886.16,129.35,14.6,2.17,147.69,964.29,207.48,21.52,2.17,160.72,1105.85,162.18,0.15,2.5,184.31,1
LC-16930,Linda Cazamias,Furnishings,11/19/24,1/7/25,-49,14,4492.95,288.27,6.4,3.71,320.92,5244.78,1040.1,19.83,3.71,374.63,6377.98,366.5,0.06,4.64,455.57,1
SR-20740,Steven Roelle,Paper,6/17/24,1/7/25,-204,12,4345.89,"1,990.42",45.8,4.17,362.16,5044.93,2689.47,53.31,4.17,420.41,6464.73,2991.55,0.46,4.67,538.73,1
TM-21010,Tamara Manning,Binders,9/18/24,1/7/25,-111,19,2955.23,573.30,19.4,3.53,155.54,3238.37,856.44,26.45,3.53,170.44,3764.46,645.46,0.17,3.89,198.13,1
SA-20830,Sue Ann Reed,Paper,10/28/24,1/7/25,-71,21,4767.34,610.15,12.8,3.57,227.02,5093.86,936.67,18.39,3.57,242.56,5828.6,649.06,0.11,4.81,277.55,1
MG-17875,Michael Grace,Binders,9/5/24,1/7/25,-124,7,1242.83,-470.77,-37.9,3.29,177.55,1403.0,-310.6,-22.14,3.29,200.43,1700.89,-775.71,-0.46,4.14,242.98,2
JH-15430,Jennifer Halladay,Paper,12/25/24,1/7/25,-13,7,309.28,-24.08,-7.8,4.14,44.18,345.26,11.91,3.45,4.14,49.32,403.52,-53.92,-0.13,4.86,57.65,2
JS-16030,Joy Smith,Art,12/2/24,1/7/25,-36,18,2516.49,-311.26,-12.4,3.89,139.81,2762.74,-65.01,-2.35,3.89,153.49,3293.6,-210.12,-0.06,4.39,182.98,2
VF-21715,Vicky Freymann,Chairs,12/17/24,1/7/25,-21,11,847.94,-96.28,-11.4,3.18,77.09,992.04,47.82,4.82,3.18,90.19,1222.59,-162.18,-0.13,3.64,111.14,2
SC-20380,Shahid Collister,Chairs,11/30/24,1/7/25,-38,20,5992.54,236.66,3.9,4.0,299.63,6776.83,1020.96,15.07,4.0,338.84,8187.43,88.36,0.01,4.85,409.37,0
DB-13060,Dave Brooks,Chairs,12/14/24,1/7/25,-24,13,4531.65,473.03,10.4,3.69,348.59,4623.16,564.54,12.21,3.69,355.63,4760.43,498.77,0.1,3.77,366.19,1
GW-14605,Giulietta Weimer,Tables,12/2/24,1/7/25,-36,9,2189.02,-268.54,-12.3,4.78,243.22,2391.72,-65.85,-2.75,4.78,265.75,2761.41,-526.05,-0.19,5.33,306.82,2
HR-14770,Hallie Redmond,Phones,12/17/24,1/7/25,-21,13,1299.29,185.58,14.3,2.92,99.95,1439.13,325.42,22.61,2.92,110.7,1717.63,216.59,0.13,3.23,132.13,1
KN-16705,Kristina Nunn,Envelopes,9/23/24,1/7/25,-106,15,2280.58,329.76,14.5,3.67,152.04,2528.07,577.25,22.83,3.67,168.54,3023.04,499.38,0.17,4.07,201.54,1
NH-18610,Nicole Hansen,Paper,6/24/24,1/7/25,-197,11,2673.29,760.17,28.4,4.73,243.03,2680.95,767.82,28.64,4.73,243.72,2692.43,768.97,0.29,5.0,244.77,1
JS-15595,Jill Stevenson,Bookcases,9/2/24,1/7/25,-127,8,1417.65,-175.55,-12.4,4.38,177.21,1480.93,-112.27,-7.58,4.38,185.12,1608.42,-292.3,-0.18,5.0,201.05,2
EJ-14155,Eva Jacobs,Tables,11/3/24,1/7/25,-65,8,2656.69,451.88,17.0,3.88,332.09,2855.16,650.35,22.78,3.88,356.9,3318.27,404.84,0.12,4.38,414.78,1
SC-20020,Sam Craven,Appliances,11/10/22,1/7/25,-789,17,3362.96,-317.05,-9.4,3.65,197.82,3598.8,-81.21,-2.26,3.65,211.69,4046.55,-303.2,-0.07,4.06,238.03,2
AJ-10945,Ashley Jarboe,Art,10/6/24,1/7/25,-93,10,1839.24,521.14,28.3,4.0,183.92,1980.37,662.26,33.44,4.0,198.04,2192.06,628.57,0.29,4.4,219.21,1
AP-10720,Anne Pryor,Binders,11/19/24,1/7/25,-49,19,1638.55,285.79,17.4,4.47,86.24,1827.15,474.39,25.96,4.47,96.17,2180.04,387.06,0.18,5.84,114.74,1
CL-12565,Clay Ludtke,Storage,3/21/24,1/7/25,-292,28,10880.55,"1,933.78",17.8,3.79,388.59,12335.6,3388.84,27.47,3.79,440.56,14666.88,2597.59,0.18,4.54,523.82,0
AB-10150,Aimee Bixby,Art,11/19/24,1/7/25,-49,12,966.71,313.66,32.4,3.08,80.56,976.64,323.59,33.13,3.08,81.39,991.53,322.04,0.32,3.33,82.63,1
CM-12715,Craig Molinari,Chairs,3/1/22,1/7/25,-1043,13,3984.45,176.31,4.4,4.38,306.5,4417.48,609.33,13.79,4.38,339.81,5069.26,180.44,0.04,5.46,389.94,1
NP-18685,Nora Pelletier,Binders,11/19/23,1/7/25,-415,7,1228.7,514.50,41.9,3.29,175.53,1255.25,541.05,43.1,3.29,179.32,1298.76,532.35,0.41,4.14,185.54,1
KT-16480,Kean Thornton,Art,9/21/24,1/7/25,-108,13,4642.09,194.07,4.2,2.85,357.08,4883.22,435.2,8.91,2.85,375.63,5494.02,80.74,0.01,3.31,422.62,1
SW-20275,Scott Williamson,Paper,11/30/24,1/7/25,-38,7,1966.65,332.87,16.9,4.0,280.95,1967.38,333.6,16.96,4.0,281.05,1970.29,334.24,0.17,4.14,281.47,1
CK-12205,Chloris Kastensmidt,Furnishings,11/21/24,1/7/25,-47,32,3154.86,141.28,4.5,3.81,98.59,3439.92,426.35,12.39,3.81,107.5,4434.41,262.9,0.06,4.41,138.58,1
FM-14215,Filia McAdams,Appliances,12/23/24,1/7/25,-15,15,2456.64,249.68,10.2,3.2,163.78,2690.63,483.67,17.98,3.2,179.38,3197.96,201.55,0.06,3.67,213.2,1
RB-19435,Richard Bierner,Art,12/11/24,1/7/25,-27,16,2663.09,477.24,17.9,4.13,166.44,2987.44,801.6,26.83,4.13,186.72,3478.0,638.5,0.18,4.63,217.37,1
KA-16525,Kelly Andreada,Paper,11/24/24,1/7/25,-44,11,1519.51,234.92,15.5,5.18,138.14,1640.6,356.02,21.7,5.18,149.15,1850.64,199.2,0.11,5.55,168.24,1
NF-18595,Nicole Fjeld,Chairs,9/7/24,1/7/25,-122,20,7003.07,"1,167.10",16.7,5.15,350.15,7939.26,2103.29,26.49,5.15,396.96,9359.59,1448.11,0.15,5.95,467.98,0
CK-12325,Christine Kargatis,Chairs,9/1/24,1/7/25,-128,12,2945.32,261.22,8.9,3.83,245.44,3457.49,773.39,22.37,3.83,288.12,4371.82,342.27,0.08,4.92,364.32,1
DK-13225,Dean Katz,Art,12/20/24,1/7/25,-18,19,4802.39,209.90,4.4,3.68,252.76,5119.24,526.74,10.29,3.68,269.43,5728.28,23.4,0.0,4.11,301.49,1
JF-15295,Jason Fortune-,Binders,5/19/24,1/7/25,-233,14,955.12,97.29,10.2,3.0,68.22,1073.06,215.23,20.06,3.0,76.65,1398.95,124.81,0.09,3.64,99.92,1
NF-18475,Neil Französisch,Paper,7/23/23,1/7/25,-534,4,377.16,85.93,22.8,3.25,94.29,379.45,88.21,23.25,3.25,94.86,382.87,76.51,0.2,3.75,95.72,1
RB-19465,Rick Bensley,Paper,12/21/24,1/7/25,-17,23,4715.47,640.55,13.6,3.7,205.02,5219.32,1144.41,21.93,3.7,226.93,6063.7,700.95,0.12,4.39,263.64,1
AS-10240,Alan Shonely,Furnishings,6/21/24,1/7/25,-200,13,584.61,33.72,5.8,3.0,44.97,602.94,52.05,8.63,3.0,46.38,631.64,-3.0,0.0,3.54,48.59,1
CP-12340,Christine Phan,Tables,7/23/24,1/7/25,-168,15,5888.28,"-1,850.30",-31.4,3.93,392.55,6832.08,-906.5,-13.27,3.93,455.47,8600.58,-3087.02,-0.36,5.27,573.37,2
BN-11515,Bradley Nguyen,Appliances,12/21/24,1/7/25,-17,17,1459.34,340.71,23.3,4.65,85.84,1514.2,395.56,26.12,4.65,89.07,1610.2,397.12,0.25,5.41,94.72,1
AZ-10750,Annie Zypern,Art,7/23/24,1/7/25,-168,12,1622.02,154.95,9.6,3.33,135.17,1806.92,339.85,18.81,3.33,150.58,2110.47,195.7,0.09,3.83,175.87,1
QJ-19255,Quincy Jones,Paper,12/5/24,1/7/25,-33,13,6108.34,"1,203.68",19.7,4.69,469.87,7066.4,2161.74,30.59,4.69,543.57,8962.94,1905.19,0.21,5.54,689.46,0
EK-13795,Eileen Kiefer,Bookcases,11/16/24,1/7/25,-52,4,1303.48,97.11,7.4,4.5,325.87,1543.14,336.77,21.82,4.5,385.79,1902.64,132.35,0.07,5.75,475.66,1
SM-20320,Sean Miller,Furnishings,10/12/24,1/7/25,-87,15,25043.05,"-1,980.74",-7.9,3.33,1669.54,29754.92,2731.13,9.18,3.33,1983.66,36822.73,-2935.99,-0.08,3.73,2454.85,0
SC-20050,Sample Company A,Furnishings,11/20/24,1/7/25,-48,15,4624.57,"1,011.74",21.9,4.07,308.3,4969.66,1356.84,27.3,4.07,331.31,5532.09,1221.11,0.22,5.07,368.81,1
MC-17605,Matt Connell,Furnishings,9/9/24,1/7/25,-120,18,2258.19,195.45,8.7,3.33,125.46,2483.31,420.57,16.94,3.33,137.96,2971.2,194.97,0.07,3.78,165.07,1
GM-14440,Gary McGarr,Chairs,10/8/24,1/7/25,-91,11,3582.82,347.27,9.7,3.91,325.71,4086.75,851.19,20.83,3.91,371.52,4974.39,425.53,0.09,4.73,452.22,1
KH-16690,Kristen Hastings,Art,12/28/24,1/7/25,-10,15,5990.8,"1,227.51",20.5,4.6,399.39,6018.25,1254.96,20.85,4.6,401.22,6080.93,1260.86,0.21,5.0,405.4,1
CB-12025,Cassandra Brandow,Art,11/13/24,1/7/25,-55,26,6076.14,150.21,2.5,4.69,233.7,6395.03,469.1,7.34,4.69,245.96,6977.84,-91.1,-0.01,5.23,268.38,0
TS-21205,Thomas Seio,Storage,6/15/24,1/7/25,-206,19,5371.09,862.89,16.1,3.53,282.69,5395.28,887.08,16.44,3.53,283.96,5431.57,848.78,0.16,3.58,285.87,1
BF-11275,Beth Fritzler,Chairs,11/3/24,1/7/25,-65,4,791.99,25.87,3.3,2.75,198.0,854.86,88.74,10.38,2.75,213.72,1001.56,2.29,0.0,3.25,250.39,1
VM-21835,Vivian Mathis,Art,9/4/24,1/7/25,-125,8,380.69,116.64,30.6,3.13,47.59,395.19,131.13,33.18,3.13,49.4,416.93,111.3,0.27,3.5,52.12,1
CC-12685,Craig Carroll,Binders,10/23/22,1/7/25,-807,12,2854.12,850.16,29.8,4.25,237.84,2869.74,865.79,30.17,4.25,239.15,2902.1,815.74,0.28,5.17,241.84,1
BG-11740,Bruce Geld,Labels,11/3/24,1/7/25,-65,7,1006.36,119.35,11.9,3.14,143.77,1103.63,216.62,19.63,3.14,157.66,1249.54,137.59,0.11,3.43,178.51,1
PO-18865,Patrick O'Donnell,Storage,12/30/24,1/7/25,-8,13,2493.21,437.85,17.6,4.15,191.79,2653.96,598.6,22.56,4.15,204.15,2903.89,503.93,0.17,4.77,223.38,1
MS-17710,Maurice Satty,Furnishings,11/12/23,1/7/25,-422,15,1613.4,247.43,15.3,3.2,107.56,1693.22,327.25,19.33,3.2,112.88,1852.72,189.49,0.1,3.87,123.51,1
CD-11920,Carlos Daly,Paper,11/20/24,1/7/25,-48,9,2033.97,426.66,21.0,3.89,226.0,2127.55,520.24,24.45,3.89,236.39,2296.3,424.66,0.18,4.33,255.14,1
CA-12265,Christina Anderson,Art,11/4/24,1/7/25,-64,17,2648.29,279.62,10.6,3.82,155.78,2899.38,530.71,18.3,3.82,170.55,3422.9,277.53,0.08,4.41,201.35,1
DK-12835,Damala Kotsonis,Art,12/9/24,1/7/25,-29,27,3256.48,881.12,27.1,3.19,120.61,3597.96,1222.61,33.98,3.19,133.26,4271.99,1036.35,0.24,3.78,158.22,1
CS-12505,Cindy Stewart,Labels,11/2/24,1/7/25,-66,9,5690.06,"-6,626.39",-116.5,4.44,632.23,6760.57,-5555.87,-82.18,4.44,751.17,8816.34,-10643.53,-1.21,5.11,979.59,2
JD-15895,Jonathan Doherty,Accessories,12/1/23,1/7/25,-403,32,7610.86,"1,050.27",13.8,4.69,237.84,7874.8,1314.2,16.69,4.69,246.09,8336.84,840.17,0.1,5.19,260.53,0
MP-18175,Mike Pelletier,Tables,12/14/24,1/7/25,-24,19,5087.92,226.45,4.5,4.11,267.79,5564.33,702.86,12.63,4.11,292.86,6735.33,-22.33,0.0,5.37,354.49,1
CV-12295,Christina VanderZanden,Tables,4/20/24,1/7/25,-262,13,2830.63,493.09,17.4,4.15,217.74,3153.56,816.02,25.88,4.15,242.58,3654.51,639.47,0.17,5.15,281.12,1
DR-12940,Daniel Raglin,Phones,11/10/24,1/7/25,-58,13,8350.87,"2,869.08",34.4,4.38,642.37,8563.17,3081.38,35.98,4.38,658.71,8961.51,2989.38,0.33,5.62,689.35,0
MG-18145,Mike Gockenbach,Tables,10/7/24,1/7/25,-92,8,3061.54,-93.60,-3.1,5.25,382.69,3239.71,84.57,2.61,5.25,404.96,3655.44,-195.41,-0.05,5.5,456.93,2
MP-17470,Mark Packer,Chairs,1/11/23,1/7/25,-727,14,3206.13,600.29,18.7,5.5,229.01,3658.73,1052.89,28.78,5.5,261.34,4499.11,760.73,0.17,6.5,321.36,1
SG-20890,Susan Gilcrest,Art,5/18/24,1/7/25,-234,5,47.95,-3.71,-7.7,3.4,9.59,49.72,-1.93,-3.89,3.4,9.94,53.87,-13.09,-0.24,4.4,10.77,2
KM-16720,Kunst Miller,Art,12/2/24,1/7/25,-36,28,4909.47,745.77,15.2,3.5,175.34,5118.19,954.49,18.65,3.5,182.79,5596.51,669.72,0.12,3.86,199.88,1
Dl-13600,Dorris liebe,Labels,9/2/24,1/7/25,-127,6,755.6,175.24,23.2,3.17,125.93,891.34,310.97,34.89,3.17,148.56,1206.72,277.01,0.23,4.0,201.12,1
NC-18340,Nat Carroll,Storage,5/20/24,1/7/25,-232,17,2461.4,580.31,23.6,3.18,144.79,2467.4,586.3,23.76,3.18,145.14,2476.39,586.26,0.24,3.35,145.67,1
TG-21640,Trudy Glocke,Chairs,9/7/24,1/7/25,-122,10,2074.66,365.72,17.6,5.0,207.47,2302.29,593.35,25.77,5.0,230.23,2725.38,415.93,0.15,5.7,272.54,1
AA-10315,Alex Avila,Appliances,6/29/24,1/7/25,-192,11,5563.56,-362.88,-6.5,2.73,505.78,5700.58,-225.86,-3.96,2.73,518.23,5906.11,-233.7,-0.04,2.91,536.92,2
KB-16240,Karen Bern,Binders,12/26/24,1/7/25,-12,10,3152.62,763.91,24.2,3.4,315.26,3311.92,923.21,27.88,3.4,331.19,3647.16,865.11,0.24,3.8,364.72,1
DD-13570,Dorothy Dickinson,Binders,11/19/24,1/7/25,-49,9,269.54,36.43,13.5,3.67,29.95,272.03,38.92,14.31,3.67,30.23,276.35,25.08,0.09,4.22,30.71,1
JO-15280,Jas O'Carroll,Binders,9/29/24,1/7/25,-100,11,1934.27,202.14,10.5,3.27,175.84,2242.84,510.71,22.77,3.27,203.89,2814.48,313.1,0.11,4.0,255.86,1
KH-16330,Katharine Harms,Binders,11/20/24,1/7/25,-48,18,3312.86,454.79,13.7,3.89,184.05,3605.65,747.58,20.73,3.89,200.31,4207.64,469.93,0.11,4.61,233.76,1
AH-10690,Anna Häberlin,Furnishings,11/15/23,1/7/25,-419,23,7888.29,"1,298.02",16.5,4.43,342.97,8675.56,2085.29,24.04,4.43,377.2,9996.33,1460.19,0.15,5.39,434.62,0
RD-19585,Rob Dowd,Appliances,7/3/24,1/7/25,-188,19,2912.89,734.52,25.2,3.84,153.31,2928.62,750.24,25.62,3.84,154.14,2963.37,756.58,0.26,4.11,155.97,1
KE-16420,Katrina Edelman,Envelopes,12/4/24,1/7/25,-34,15,1686.73,397.88,23.6,4.47,112.45,1764.15,475.3,26.94,4.47,117.61,1945.52,378.7,0.19,5.07,129.7,1
MZ-17515,Mary Zewe,Binders,3/23/24,1/7/25,-290,10,2564.91,787.75,30.7,3.9,256.49,2974.98,1197.83,40.26,3.9,297.5,3590.1,1162.27,0.32,4.5,359.01,1
PK-18910,Paul Knutson,Labels,9/3/23,1/7/25,-492,3,1441.15,-798.71,-55.4,4.67,480.38,1669.45,-570.41,-34.17,4.67,556.48,2126.03,-1255.29,-0.59,5.67,708.68,2
KB-16585,Ken Black,Paper,5/14/24,1/7/25,-238,23,2744.74,579.36,21.1,4.43,119.34,2949.46,784.07,26.58,4.43,128.24,3312.86,632.26,0.19,4.7,144.04,1
GM-14695,Greg Maxwell,Art,9/4/24,1/7/25,-125,11,6049.97,188.72,3.1,4.0,550.0,6378.56,517.32,8.11,4.0,579.87,7091.85,174.71,0.02,4.36,644.71,0
RD-19900,Ruben Dartt,Art,9/7/24,1/7/25,-122,21,3133.92,455.53,14.5,4.05,149.23,3141.96,463.57,14.75,4.05,149.62,3158.04,466.38,0.15,4.19,150.38,1
RP-19855,Roy Phan,Binders,12/2/24,1/7/25,-36,15,2170.72,594.59,27.4,4.07,144.71,2216.14,640.01,28.88,4.07,147.74,2292.52,628.29,0.27,4.8,152.83,1
